Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
0,2,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0
7,4,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0
9,17,0.0,0.0,0.0,0.0
10,29,0.0,0.0,0.0,0.0
11,46,0.0,0.0,0.0,0.0
12,39,0.0,0.0,0.0,0.0
13,31,0.0,0.0,0.0,0.0
14,44,0.0,0.0,0.0,0.0
15,56,0.0,0.0,0.0,0.0
16,68,0.0,0.0,0.0,0.0
17,98,0.0,0.0,0.0,0.0
18,123,0.0,0.0,0.0,0.0
19,152,0.0,0.0,0.0,0.0
20,124,0.0,0.0,0.0,0.0
21,109,0.0,0.0,0.0,0.0
22,239,0.0,0.0,0.0,0.0
23,251,0.0,0.0,0.0,0.0
24,240,0.0,0.0,0.0,0.0
25,312,0.0,0.0,0.0,0.0
26,278,0.0,0.0,0.0,0.0
27,323,0.0,0.0,0.0,0.0
28,364,0.0,0.0,0.0,0.0
29,429,0.0,0.0,0.0,0.0
30,413,0.0,0.0,0.0,0.0
31,411,0.0,0.0,0.0,0.0
32,449,0.0,0.0,0.0,0.0
33,372,0.0,0.0,0.0,0.0
34,347,0.0,0.0,0.0,0.0
35,290,0.0,0.0,0.0,0.0
36,361,0.0,0.0,0.0,0.0
37,401,0.0,0.0,0.0,0.0
38,375,0.0,0.0,0.0,0.0
39,351,0.0,0.0,0.0,0.0
40,361,0.0,0.0,0.0,0.0
41,254,0.0,0.0,0.0,0.0
42,245,0.0,0.0,0.0,0.0
43,290,0.0,0.0,0.0,0.0
44,330,0.0,0.0,0.0,0.0
45,394,0.0,0.0,0.0,0.0
46,514,0.0,0.0,0.0,0.0
47,451,0.0,0.0,0.0,0.0
48,552,0.0,0.0,0.0,0.0
49,344,0.0,0.0,0.0,0.0
50,408,0.0,0.0,0.0,0.0
51,496,0.0,0.0,0.0,0.0
52,579,0.0,0.0,0.0,0.0
53,551,0.0,0.0,0.0,0.0
54,484,0.0,0.0,0.0,0.0
55,386,0.0,0.0,0.0,0.0
56,315,0.0,0.0,0.0,0.0
57,420,0.0,0.0,0.0,0.0
58,378,0.0,0.0,0.0,0.0
59,447,0.0,0.0,0.0,0.0
60,455,0.0,0.0,0.0,0.0
61,470,0.0,0.0,0.0,0.0
62,323,0.0,0.0,0.0,0.0
63,298,0.0,0.0,0.0,0.0
64,243,0.0,0.0,0.0,0.0
65,323,0.0,0.0,0.0,0.0
66,317,0.0,0.0,0.0,0.0
67,369,0.0,0.0,0.0,0.0
68,341,0.0,0.0,0.0,0.0
69,165,0.0,0.0,0.0,0.0
70,219,0.0,0.0,0.0,0.0
71,253,0.0,0.0,0.0,0.0
72,314,0.0,0.0,0.0,0.0
73,244,0.0,0.0,0.0,0.0
74,260,0.0,0.0,0.0,0.0
75,269,0.0,0.0,0.0,0.0
76,181,0.0,0.0,0.0,0.0
77,176,0.0,0.0,0.0,0.0
78,221,0.0,0.0,0.0,0.0
79,293,0.0,0.0,0.0,0.0
80,259,0.0,0.0,0.0,0.0
81,228,0.0,0.0,0.0,0.0
82,197,0.0,0.0,0.0,0.0
83,150,0.0,0.0,0.0,0.0
84,137,0.0,0.0,0.0,0.0
85,141,0.0,0.0,0.0,0.0
86,151,0.0,0.0,0.0,0.0
87,194,0.0,0.0,0.0,0.0
88,155,0.0,0.0,0.0,0.0
89,156,0.0,0.0,0.0,0.0
90,114,0.0,0.0,0.0,0.0
91,78,0.0,0.0,0.0,0.0
92,123,0.0,0.0,0.0,0.0
93,126,0.0,0.0,0.0,0.0
94,127,0.0,0.0,0.0,0.0
95,136,0.0,0.0,0.0,0.0
96,101,0.0,0.0,0.0,0.0
97,78,0.0,0.0,0.0,0.0
98,65,0.0,0.0,0.0,0.0
99,118,0.0,0.0,0.0,0.0
100,102,0.0,0.0,0.0,0.0
101,92,0.0,0.0,0.0,0.0
102,92,0.0,0.0,0.0,0.0
103,79,0.0,0.0,0.0,0.0
104,85,0.0,0.0,0.0,0.0
105,76,0.0,0.0,0.0,0.0
106,103,0.0,0.0,0.0,0.0
107,106,0.0,0.0,0.0,0.0
108,79,0.0,0.0,0.0,0.0
109,82,0.0,0.0,0.0,0.0
110,53,0.0,0.0,0.0,0.0
111,48,0.0,0.0,0.0,0.0
112,36,0.0,0.0,0.0,0.0
113,68,0.0,0.0,0.0,0.0
114,52,0.0,0.0,0.0,0.0
115,52,0.0,0.0,0.0,0.0
116,56,0.0,0.0,0.0,0.0
117,68,0.0,0.0,0.0,0.0
118,44,0.0,0.0,0.0,0.0
119,27,0.0,0.0,0.0,0.0
120,56,0.0,0.0,0.0,0.0
121,52,0.0,0.0,0.0,0.0
122,50,0.0,0.0,0.0,0.0
123,55,0.0,0.0,0.0,0.0
124,39,0.0,0.0,0.0,0.0
125,23,0.0,0.0,0.0,0.0
126,36,0.0,0.0,0.0,0.0
127,54,0.0,0.0,0.0,0.0
128,60,0.0,0.0,0.0,0.0
129,67,0.0,0.0,0.0,0.0
130,123,0.0,0.0,0.0,0.0
131,44,0.0,0.0,0.0,0.0
132,41,0.0,0.0,0.0,0.0
133,38,0.0,0.0,0.0,0.0
134,79,0.0,0.0,0.0,0.0
135,72,0.0,0.0,0.0,0.0
136,108,0.0,0.0,0.0,0.0
137,67,0.0,0.0,0.0,0.0
138,68,0.0,0.0,0.0,0.0
139,52,0.0,0.0,0.0,0.0
140,42,0.0,0.0,0.0,0.0
141,84,0.0,0.0,0.0,0.0
142,79,0.0,0.0,0.0,0.0
143,80,0.0,0.0,0.0,0.0
144,90,0.0,0.0,0.0,0.0
