Days_since_March1,cases,SGTF_proportion,mean_CT,OR_only,vaccinated
0,1,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0
3,7,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0
9,16,0.0,0.0,0.0,0.0
10,15,0.0,0.0,0.0,0.0
11,18,0.0,0.0,0.0,0.0
12,38,0.0,0.0,0.0,0.0
13,16,0.0,0.0,0.0,0.0
14,35,0.0,0.0,0.0,0.0
15,24,0.0,0.0,0.0,0.0
16,40,0.0,0.0,0.0,0.0
17,73,0.0,0.0,0.0,0.0
18,56,0.0,0.0,0.0,0.0
19,75,0.0,0.0,0.0,0.0
20,76,0.0,0.0,0.0,0.0
21,91,0.0,0.0,0.0,0.0
22,191,0.0,0.0,0.0,0.0
23,155,0.0,0.0,0.0,0.0
24,172,0.0,0.0,0.0,0.0
25,216,0.0,0.0,0.0,0.0
26,243,0.0,0.0,0.0,0.0
27,183,0.0,0.0,0.0,0.0
28,210,0.0,0.0,0.0,0.0
29,302,0.0,0.0,0.0,0.0
30,324,0.0,0.0,0.0,0.0
31,334,0.0,0.0,0.0,0.0
32,372,0.0,0.0,0.0,0.0
33,350,0.0,0.0,0.0,0.0
34,268,0.0,0.0,0.0,0.0
35,281,0.0,0.0,0.0,0.0
36,384,0.0,0.0,0.0,0.0
37,386,0.0,0.0,0.0,0.0
38,409,0.0,0.0,0.0,0.0
39,323,0.0,0.0,0.0,0.0
40,319,0.0,0.0,0.0,0.0
41,271,0.0,0.0,0.0,0.0
42,259,0.0,0.0,0.0,0.0
43,292,0.0,0.0,0.0,0.0
44,289,0.0,0.0,0.0,0.0
45,296,0.0,0.0,0.0,0.0
46,336,0.0,0.0,0.0,0.0
47,366,0.0,0.0,0.0,0.0
48,328,0.0,0.0,0.0,0.0
49,318,0.0,0.0,0.0,0.0
50,362,0.0,0.0,0.0,0.0
51,406,0.0,0.0,0.0,0.0
52,522,0.0,0.0,0.0,0.0
53,476,0.0,0.0,0.0,0.0
54,424,0.0,0.0,0.0,0.0
55,375,0.0,0.0,0.0,0.0
56,357,0.0,0.0,0.0,0.0
57,513,0.0,0.0,0.0,0.0
58,463,0.0,0.0,0.0,0.0
59,476,0.0,0.0,0.0,0.0
60,425,0.0,0.0,0.0,0.0
61,492,0.0,0.0,0.0,0.0
62,303,0.0,0.0,0.0,0.0
63,317,0.0,0.0,0.0,0.0
64,392,0.0,0.0,0.0,0.0
65,332,0.0,0.0,0.0,0.0
66,388,0.0,0.0,0.0,0.0
67,396,0.0,0.0,0.0,0.0
68,232,0.0,0.0,0.0,0.0
69,203,0.0,0.0,0.0,0.0
70,208,0.0,0.0,0.0,0.0
71,390,0.0,0.0,0.0,0.0
72,316,0.0,0.0,0.0,0.0
73,333,0.0,0.0,0.0,0.0
74,220,0.0,0.0,0.0,0.0
75,212,0.0,0.0,0.0,0.0
76,172,0.0,0.0,0.0,0.0
77,153,0.0,0.0,0.0,0.0
78,283,0.0,0.0,0.0,0.0
79,256,0.0,0.0,0.0,0.0
80,243,0.0,0.0,0.0,0.0
81,245,0.0,0.0,0.0,0.0
82,190,0.0,0.0,0.0,0.0
83,152,0.0,0.0,0.0,0.0
84,103,0.0,0.0,0.0,0.0
85,148,0.0,0.0,0.0,0.0
86,149,0.0,0.0,0.0,0.0
87,151,0.0,0.0,0.0,0.0
88,163,0.0,0.0,0.0,0.0
89,161,0.0,0.0,0.0,0.0
90,83,0.0,0.0,0.0,0.0
91,61,0.0,0.0,0.0,0.0
92,139,0.0,0.0,0.0,0.0
93,132,0.0,0.0,0.0,0.0
94,124,0.0,0.0,0.0,0.0
95,94,0.0,0.0,0.0,0.0
96,110,0.0,0.0,0.0,0.0
97,93,0.0,0.0,0.0,0.0
98,46,0.0,0.0,0.0,0.0
99,96,0.0,0.0,0.0,0.0
100,133,0.0,0.0,0.0,0.0
101,118,0.0,0.0,0.0,0.0
102,71,0.0,0.0,0.0,0.0
103,66,0.0,0.0,0.0,0.0
104,90,0.0,0.0,0.0,0.0
105,74,0.0,0.0,0.0,0.0
106,113,0.0,0.0,0.0,0.0
107,106,0.0,0.0,0.0,0.0
108,77,0.0,0.0,0.0,0.0
109,82,0.0,0.0,0.0,0.0
110,75,0.0,0.0,0.0,0.0
111,31,0.0,0.0,0.0,0.0
112,56,0.0,0.0,0.0,0.0
113,74,0.0,0.0,0.0,0.0
114,44,0.0,0.0,0.0,0.0
115,61,0.0,0.0,0.0,0.0
116,38,0.0,0.0,0.0,0.0
117,59,0.0,0.0,0.0,0.0
118,20,0.0,0.0,0.0,0.0
119,25,0.0,0.0,0.0,0.0
120,48,0.0,0.0,0.0,0.0
121,34,0.0,0.0,0.0,0.0
122,39,0.0,0.0,0.0,0.0
123,64,0.0,0.0,0.0,0.0
124,59,0.0,0.0,0.0,0.0
125,42,0.0,0.0,0.0,0.0
126,37,0.0,0.0,0.0,0.0
127,57,0.0,0.0,0.0,0.0
128,39,0.0,0.0,0.0,0.0
129,76,0.0,0.0,0.0,0.0
130,55,0.0,0.0,0.0,0.0
131,50,0.0,0.0,0.0,0.0
132,45,0.0,0.0,0.0,0.0
133,35,0.0,0.0,0.0,0.0
134,64,0.0,0.0,0.0,0.0
135,82,0.0,0.0,0.0,0.0
136,56,0.0,0.0,0.0,0.0
137,60,0.0,0.0,0.0,0.0
138,52,0.0,0.0,0.0,0.0
139,28,0.0,0.0,0.0,0.0
140,22,0.0,0.0,0.0,0.0
141,83,0.0,0.0,0.0,0.0
142,66,0.0,0.0,0.0,0.0
143,54,0.0,0.0,0.0,0.0
144,50,0.0,0.0,0.0,0.0
145,81,0.0,0.0,0.0,0.0
146,28,0.0,0.0,0.0,0.0
147,27,0.0,0.0,0.0,0.0
148,67,0.0,0.0,0.0,0.0
149,56,0.0,0.0,0.0,0.0
150,70,0.0,0.0,0.0,0.0
151,52,0.0,0.0,0.0,0.0
152,33,0.0,0.0,0.0,0.0
153,26,0.0,0.0,0.0,0.0
154,37,0.0,0.0,0.0,0.0
155,71,0.0,0.0,0.0,0.0
156,59,0.0,0.0,0.0,0.0
157,56,0.0,0.0,0.0,0.0
158,45,0.0,0.0,0.0,0.0
159,72,0.0,0.0,0.0,0.0
160,44,0.0,0.0,0.0,0.0
161,23,0.0,0.0,0.0,0.0
162,69,0.0,0.0,0.0,0.0
163,48,0.0,0.0,0.0,0.0
164,67,0.0,0.0,0.0,0.0
165,63,0.0,0.0,0.0,0.0
166,69,0.0,0.0,0.0,0.0
167,31,0.0,0.0,0.0,0.0
168,27,0.0,0.0,0.0,0.0
169,64,0.0,0.0,0.0,0.0
170,62,0.0,0.0,0.0,0.0
171,65,0.0,0.0,0.0,0.0
172,81,0.0,0.0,0.0,0.0
173,67,0.0,0.0,0.0,0.0
174,50,0.0,0.0,0.0,0.0
175,52,0.0,0.0,0.0,0.0
176,101,0.0,0.0,0.0,0.0
177,100,0.0,0.0,0.0,0.0
178,95,0.0,0.0,0.0,0.0
179,125,0.0,0.0,0.0,0.0
180,102,0.0,0.0,0.0,0.0
181,80,0.0,0.0,0.0,0.0
182,88,0.0,0.0,0.0,0.0
183,103,0.0,0.0,0.0,0.0
184,130,0.0,0.0,0.0,0.0
